period_id,start_date,end_date
0,2015-03-27 00:00:00,2970-01-01 09:00:00
5010,2015-03-01 09:00:00,2015-08-28 14:59:59
5011,2500-08-20 15:00:00,2500-08-25 14:59:59
5020,2015-09-02 15:00:00,2015-09-11 14:59:59
5021,2015-08-28 15:00:00,2015-09-02 14:59:59
5022,2015-09-11 15:00:00,2015-09-13 23:59:59
5023,2015-09-14 00:00:00,2015-09-14 23:59:59
5024,2015-09-15 00:00:00,2015-09-15 14:59:59
5025,2015-09-15 15:00:00,2015-09-16 14:59:59
5026,2015-09-16 15:00:00,2015-09-22 14:59:59
5027,2015-09-26 15:00:00,2015-09-26 23:59:59
5033,2015-09-28 00:00:00,2015-09-28 14:59:59
5028,2015-09-27 00:00:00,2015-09-27 23:59:59
5029,2015-09-28 15:00:00,2015-09-30 14:59:59
5030,2015-09-22 15:00:00,2015-09-23 23:59:59
5031,2015-09-24 00:00:00,2015-09-24 23:59:59
5032,2015-09-25 00:00:00,2015-09-25 14:59:59
5034,2015-09-25 15:00:00,2015-09-26 14:59:59
5035,2015-09-30 15:00:00,2015-10-03 23:59:59
5036,2015-10-05 15:00:00,2015-10-05 23:59:59
5037,2015-10-06 00:00:00,2015-10-06 23:59:59
5038,2015-10-07 00:00:00,2015-10-07 14:59:59
5039,2015-10-08 15:00:00,2015-10-08 23:59:59
5040,2015-10-10 15:00:00,2015-10-11 23:59:59
5041,2015-10-12 00:00:00,2015-10-12 23:59:59
5042,2015-10-13 00:00:00,2015-10-13 14:59:59
5043,2015-10-12 15:00:00,2100-01-01 14:59:59
5044,2015-10-04 00:00:00,2015-10-04 23:59:59
5045,2015-10-05 00:00:00,2015-10-05 14:59:59
5046,2015-10-07 15:00:00,2015-10-08 14:59:59
5047,2015-10-09 00:00:00,2015-10-09 23:59:59
5048,2015-10-10 00:00:00,2015-10-10 14:59:59
5049,2015-10-13 15:00:00,2015-10-14 23:59:59
5050,2015-10-15 00:00:00,2015-10-15 23:59:59
5051,2015-10-16 00:00:00,2015-10-16 14:59:59
5052,2015-10-16 15:00:00,2015-10-17 23:59:59
5053,2015-10-18 00:00:00,2015-10-18 23:59:59
5054,2015-10-19 00:00:00,2015-10-19 14:59:59
5055,2015-10-19 15:00:00,2015-10-21 23:59:59
5056,2015-10-22 00:00:00,2015-10-22 23:59:59
5057,2015-10-23 00:00:00,2015-10-23 14:59:59
5058,2015-10-23 15:00:00,2015-10-28 14:59:59
5059,2015-10-28 00:00:00,2015-10-28 14:59:59
5060,2015-10-28 15:00:00,2015-10-31 14:59:59
5061,2015-10-31 00:00:00,2015-10-31 14:59:59
5062,2015-11-02 15:00:00,2015-11-08 14:59:59
5063,2015-11-08 00:00:00,2015-11-08 14:59:59
5064,2015-11-08 15:00:00,2015-11-16 14:59:59
5065,2015-10-31 15:00:00,2015-11-02 14:59:59
5066,2015-11-06 15:00:00,2015-11-08 14:59:59
5067,2015-11-13 15:00:00,2015-11-16 14:59:59
5068,2015-11-26 10:55:00,2015-11-30 14:59:59
5069,2015-11-19 15:00:00,2015-11-30 14:59:59
5070,2015-11-20 15:00:00,2015-11-30 14:59:59
5071,2015-11-30 15:00:00,2015-12-3 14:59:59
5072,2015-12-03 15:00:00,2015-12-14 14:59:59
5073,2015-12-04 15:00:00,2015-12-11 14:59:59
5074,2015-12-07 15:00:00,2015-12-14 14:59:59
5075,2015-12-11 15:00:00,2015-12-18 14:59:59
5076,2015-12-11 15:00:00,2015-12-13 14:59:59
5077,2015-12-16 15:00:00,2015-12-25 14:59:59
5078,2015-12-14 15:00:00,2015-12-18 14:59:59
5079,2015-12-18 15:00:00,2015-12-25 14:59:59
5080,2015-12-21 15:00:00,2015-12-26 14:59:59
5081,2015-12-25 15:00:00,2016-01-05 14:59:59
5082,2015-12-25 15:00:00,2015-12-31 14:59:59
5083,2015-12-31 15:00:00,2016-01-01 14:59:59
5084,2016-01-01 15:00:00,2016-01-02 14:59:59
5085,2016-01-02 15:00:00,2016-01-08 14:59:59
5000,2015-11-24 15:00:00,2015-11-27 14:59:59
5001,2015-12-21 15:00:00,2015-12-25 14:59:59
5999,2015-10-08 00:00:00,2015-10-08 23:59:59
6000,2100-01-01 00:00:00,2100-01-01 23:59:59
11,2015-11-25 15:00:00,2015-11-27 14:59:59
12,2015-12-06 15:00:00,2015-12-08 14:59:59
13,2015-12-07 15:00:00,2015-12-09 14:59:59
14,2015-11-22 15:00:00,2015-11-24 14:59:59
15,2014-12-01 15:00:00,2014-12-03 14:59:59
16,2015-11-29 15:00:00,2015-12-01 14:59:59
17,2015-12-10 15:00:00,2015-12-12 14:59:59
18,2015-12-10 15:00:00,2015-12-12 14:59:59
19,2015-12-05 15:00:00,2015-12-06 14:59:59
20,2015-07-31 15:00:00,2015-08-01 00:00:00
21,2015-08-02 06:00:00,2015-08-02 15:00:00
22,2015-08-07 15:00:00,2015-08-08 00:00:00
23,2015-08-09 06:00:00,2015-08-09 15:00:00
24,2015-08-15 15:00:00,2015-08-16 00:00:00
25,2015-08-17 06:00:00,2015-08-17 15:00:00
26,2015-08-22 15:00:00,2015-08-23 00:00:00
27,2015-08-24 06:00:00,2015-08-24 15:00:00
28,2015-08-03 12:00:00,2015-08-03 21:00:00
29,2015-08-05 12:00:00,2015-08-05 15:00:00
30,2015-08-12 12:00:00,2015-08-12 21:00:00
31,2015-08-14 12:00:00,2015-08-14 15:00:00
32,2015-08-19 12:00:00,2015-08-19 21:00:00
33,2015-08-21 12:00:00,2015-08-21 15:00:00
34,2015-08-26 12:00:00,2015-08-26 21:00:00
35,2015-08-28 12:00:00,2015-08-28 15:00:00
100,2015-12-03 15:00:00,2015-12-05 14:59:59
101,2015-08-30 15:00:00,2015-08-31 00:00:00
102,2015-09-02 06:00:00,2015-09-02 15:00:00
110,2015-11-30 15:00:00,2015-12-02 14:59:59
111,2015-09-12 15:00:00,2015-09-13 00:00:00
112,2015-09-15 06:00:00,2015-09-15 15:00:00
120,2015-11-29 15:00:00,2015-12-01 14:59:59
121,2015-09-26 15:00:00,2015-09-27 00:00:00
122,2015-09-29 06:00:00,2015-09-29 15:00:00
130,2015-12-04 15:00:00,2015-12-06 14:59:59
131,2015-10-11 15:00:00,2015-10-12 00:00:00
132,2015-10-14 06:00:00,2015-10-14 15:00:00
140,2015-12-08 15:00:00,2015-12-11 14:59:59
141,2015-09-04 15:00:00,2015-09-04 21:00:00
142,2015-09-07 12:00:00,2015-09-07 15:00:00
150,2015-12-01 15:00:00,2015-12-03 14:59:59
151,2015-09-17 15:00:00,2015-09-17 21:00:00
152,2015-09-20 12:00:00,2015-09-20 15:00:00
160,2015-12-08 15:00:00,2015-12-11 14:59:59
161,2015-10-05 15:00:00,2015-10-05 21:00:00
162,2015-10-08 12:00:00,2015-10-08 15:00:00
170,2015-11-24 15:00:00,2015-11-26 14:59:59
171,2015-09-30 15:00:00,2015-09-30 21:00:00
172,2015-10-03 12:00:00,2015-10-03 15:00:00
180,2015-10-12 15:00:00,2015-10-14 14:59:59
190,2015-12-01 15:00:00,2015-12-03 14:59:59
200,2015-11-27 15:00:00,2015-11-29 14:59:59
201,2015-10-11 15:00:00,2015-10-12 00:00:00
202,2015-10-15 06:00:00,2015-10-15 15:00:00
210,2015-12-06 15:00:00,2015-12-08 14:59:59
211,2015-10-14 15:00:00,2015-10-14 21:00:00
212,2015-10-18 12:00:00,2015-10-18 15:00:00
220,2015-11-26 15:00:00,2015-11-27 14:59:59
221,2015-10-09 21:00:00,2015-10-09 23:59:59
222,2015-10-10 12:00:00,2015-10-10 14:59:59
230,2015-12-09 15:00:00,2015-12-12 14:59:59
231,2015-10-17 15:00:00,2015-10-18 00:00:00
232,2015-10-21 06:00:00,2015-10-21 15:00:00
240,2015-12-02 15:00:00,2015-12-04 14:59:59
241,2015-10-18 15:00:00,2015-10-18 21:00:00
242,2015-10-22 12:00:00,2015-10-22 15:00:00
250,2015-12-06 15:00:00,2015-12-08 14:59:59
251,2015-10-25 15:00:00,2015-10-25 23:59:59
252,2015-10-29 06:00:00,2015-10-29 14:59:59
260,2015-12-05 15:00:00,2015-12-07 14:59:59
261,2015-10-29 12:00:00,2015-10-29 21:00:00
262,2015-11-02 12:00:00,2015-11-02 14:59:59
270,2015-11-27 15:00:00,2015-11-29 14:59:59
271,2015-11-01 15:00:00,2015-11-01 23:59:59
272,2015-11-05 06:00:00,2015-11-05 14:59:59
280,2015-12-05 15:00:00,2015-12-07 14:59:59
281,2015-11-05 12:00:00,2015-11-05 20:59:59
282,2015-11-09 12:00:00,2015-11-09 14:59:59
290,2015-11-24 15:00:00,2015-11-25 14:59:59
291,2015-10-29 21:00:00,2015-10-29 23:59:59
292,2015-10-30 12:00:00,2015-10-30 14:59:59
300,2015-11-27 15:00:00,2015-11-29 14:59:59
301,2015-11-08 15:00:00,2015-11-09 21:00:00
302,2015-11-13 12:00:00,2015-11-13 14:59:59
310,2015-12-03 15:00:00,2015-12-05 14:59:59
311,2015-11-15 15:00:00,2015-11-15 21:00:00
312,2015-11-20 12:00:00,2015-11-20 14:59:59
320,2015-11-28 15:00:00,2015-11-29 14:59:59
321,2015-11-13 21:00:00,2015-11-13 23:59:59
322,2015-11-14 12:00:00,2015-11-14 14:59:59
330,2015-12-09 15:00:00,2015-12-12 14:59:59
331,2015-11-22 15:00:00,2015-11-22 21:00:00
332,2015-11-27 12:00:00,2015-11-27 14:59:59
340,2015-11-27 15:00:00,2015-12-04 14:59:59
341,2015-11-29 15:00:00,2015-11-29 21:00:00
342,2015-12-04 12:00:00,2015-12-04 14:59:59
350,2015-11-30 15:00:00,2015-12-01 14:59:59
351,2015-11-30 21:00:00,2015-11-30 23:59:59
352,2015-12-01 12:00:00,2015-12-01 14:59:59
11101,2015-09-11 15:00:00,2015-09-13 23:59:59
11102,2015-09-11 15:00:00,2015-09-14 14:59:59
11103,2015-09-11 15:00:00,2015-09-14 14:59:59
11104,2015-09-11 15:00:00,2015-09-14 14:59:59
11105,2015-09-14 15:00:00,2015-09-17 14:59:59
11106,2015-09-11 15:00:00,2015-09-11 23:59:59
11206,2015-09-14 00:00:00,2015-09-18 14:59:59
11207,2015-11-21 15:00:00,2015-11-22 14:59:59
11208,2015-09-26 15:00:00,2015-09-27 14:59:59
11209,2015-09-19 15:00:00,2015-09-24 14:59:59
11210,2015-09-19 15:00:00,2015-09-20 23:59:59
11211,2015-09-19 15:00:00,2015-09-21 14:59:59
11212,2015-09-19 15:00:00,2015-09-21 14:59:59
11213,2015-09-19 15:00:00,2015-09-21 14:59:59
11214,2015-09-21 15:00:00,2015-09-23 14:59:59
11215,2015-09-21 00:00:00,2015-09-23 14:59:59
11216,2015-09-19 00:00:00,2015-09-20 23:59:59
11217,2015-09-26 00:00:00,2015-09-27 23:59:59
11218,2015-11-16 15:00:00,2015-11-29 14:59:59
11219,2015-11-21 15:00:00,2015-11-22 14:59:59
11220,2015-11-28 15:00:00,2015-11-29 14:59:59
11221,2015-11-16 15:00:00,2015-11-29 14:59:59
11222,2015-11-16 15:00:00,2015-11-29 14:59:59
11223,2015-11-16 15:00:00,2015-11-29 14:59:59
11224,2015-11-16 15:00:00,2015-11-29 14:59:59
11225,2015-11-06 00:00:00,2015-11-06 23:59:59
11226,2015-11-06 18:00:00,2015-11-06 18:59:59
1001,2015-11-21 15:00:00,2015-11-23 14:59:59
1002,2015-11-28 15:00:00,2015-11-29 14:59:59
1003,2016-02-29 15:00:00,2016-03-06 14:59:59
1004,2016-02-22 15:00:00,2016-03-06 14:59:59
1005,2015-11-16 00:00:00,2015-11-29 23:59:59
1006,2015-11-21 00:00:00,2015-11-22 23:59:59
1007,2015-11-28 00:00:00,2015-11-29 23:59:59
1008,2015-12-03 15:00:00,2015-12-11 14:59:59
1009,2015-12-21 00:00:00,2015-12-25 23:59:59
1010,2015-12-21 15:00:00,2015-12-25 14:59:59
1011,2015-12-26 15:00:00,2016-01-01 14:59:59
1012,2016-01-01 15:00:00,2016-01-07 14:59:59
1013,2015-12-26 15:00:00,2015-12-31 14:59:59
1014,2016-01-20 15:00:00,2016-01-25 14:59:59
1015,2016-01-29 15:00:00,2016-02-10 14:59:59
1016,2016-02-04 15:00:00,2016-02-10 14:59:59
1017,2016-02-12 15:00:00,2016-02-14 14:59:59
1018,2016-02-12 15:00:00,2016-02-13 14:59:59
1019,2016-02-13 15:00:00,2970-01-01 09:00:00
1020,2016-03-02 00:00:00,2016-03-06 23:59:59
1021,2016-03-30 15:00:00,2016-04-03 14:59:59
